,brand,titles,titles_tag
0,'47 brand,adjustable adult aftermath angeles angels apprentice arch arizona astros atlanta baltimore baseball bay black blue boston brand brave brewers buckeyes bullpen camo camoflauge camouflage cap cardinal cardinals carolina casper chamber chicago chocolate christina cincinnati cinncinnati city clean cleanup cleveland clothe coal college colorado connecticut cooperstown cub dame detroit diamondbacks diego dodgers duke enterprise establish extra fit florida franchise freshman frost gonzaga green hat home houston huskies illinois incognito indians jays kansas kelly kentucky knit large logo los louis mariners marlin marlins maroon medium men mesh mets miami michigan milwaukee minnesota mlb mvp nationals navy ncaa north notre oakland ohio oklahoma one orange orioles outdoors padres philadelphia phillies pirate pittsburgh purple rangers ray red reds rgw rib rise rockies royal royals san scarlet seattle shortstop size slugger small sox sport state structure tampa tennessee texas thawk throwback tigers timeline toronto twin university visor volunteer washington white wolverines women yankees york youth,"[('adjustable', 'ADJ'), ('adult', 'NOUN'), ('aftermath', 'NOUN'), ('angeles', 'NOUN'), ('angels', 'NOUN'), ('apprentice', 'NOUN'), ('arch', 'NOUN'), ('arizona', 'NOUN'), ('astros', 'VERB'), ('atlanta', 'NOUN'), ('baltimore', 'ADP'), ('baseball', 'NOUN'), ('bay', 'NOUN'), ('black', 'ADJ'), ('blue', 'ADJ'), ('boston', 'NOUN'), ('brand', 'NOUN'), ('brave', 'ADJ'), ('brewers', 'NOUN'), ('buckeyes', 'NOUN'), ('bullpen', 'VERB'), ('camo', 'NOUN'), ('camoflauge', 'NOUN'), ('camouflage', 'NOUN'), ('cap', 'NOUN'), ('cardinal', 'ADJ'), ('cardinals', 'NOUN'), ('carolina', 'NOUN'), ('casper', 'NOUN'), ('chamber', 'NOUN'), ('chicago', 'NOUN'), ('chocolate', 'NOUN'), ('christina', 'NOUN'), ('cincinnati', 'NOUN'), ('cinncinnati', 'ADJ'), ('city', 'NOUN'), ('clean', 'ADJ'), ('cleanup', 'NOUN'), ('cleveland', 'NOUN'), ('clothe', 'NOUN'), ('coal', 'NOUN'), ('college', 'NOUN'), ('colorado', 'NOUN'), ('connecticut', 'NOUN'), ('cooperstown', 'NOUN'), ('cub', 'X'), ('dame', 'ADJ'), ('detroit', 'NOUN'), ('diamondbacks', 'VERB'), ('diego', 'ADJ'), ('dodgers', 'NOUN'), ('duke', 'NOUN'), ('enterprise', 'NOUN'), ('establish', 'VERB'), ('extra', 'ADJ'), ('fit', 'ADJ'), ('florida', 'NOUN'), ('franchise', 'NOUN'), ('freshman', 'NOUN'), ('frost', 'NOUN'), ('gonzaga', 'VERB'), ('green', 'ADJ'), ('hat', 'NOUN'), ('home', 'NOUN'), ('houston', 'NOUN'), ('huskies', 'NOUN'), ('illinois', 'ADV'), ('incognito', 'ADJ'), ('indians', 'NOUN'), ('jays', 'NOUN'), ('kansas', 'NOUN'), ('kelly', 'ADV'), ('kentucky', 'VERB'), ('knit', 'VERB'), ('large', 'ADJ'), ('logo', 'NOUN'), ('los', 'NOUN'), ('louis', 'NOUN'), ('mariners', 'NOUN'), ('marlin', 'VERB'), ('marlins', 'NOUN'), ('maroon', 'NOUN'), ('medium', 'ADJ'), ('men', 'NOUN'), ('mesh', 'VERB'), ('mets', 'NOUN'), ('miami', 'NOUN'), ('michigan', 'NOUN'), ('milwaukee', 'NOUN'), ('minnesota', 'VERB'), ('mlb', 'ADP'), ('mvp', 'ADJ'), ('nationals', 'NOUN'), ('navy', 'VERB'), ('ncaa', 'ADJ'), ('north', 'ADV'), ('notre', 'ADJ'), ('oakland', 'VERB'), ('ohio', 'NOUN'), ('oklahoma', 'VERB'), ('one', 'NUM'), ('orange', 'NOUN'), ('orioles', 'NOUN'), ('outdoors', 'ADV'), ('padres', 'VERB'), ('philadelphia', 'NOUN'), ('phillies', 'NOUN'), ('pirate', 'VERB'), ('pittsburgh', 'NOUN'), ('purple', 'ADJ'), ('rangers', 'NOUN'), ('ray', 'VERB'), ('red', 'ADJ'), ('reds', 'NOUN'), ('rgw', 'VERB'), ('rib', 'NOUN'), ('rise', 'NOUN'), ('rockies', 'VERB'), ('royal', 'ADJ'), ('royals', 'NOUN'), ('san', 'X'), ('scarlet', 'ADJ'), ('seattle', 'NOUN'), ('shortstop', 'NOUN'), ('size', 'NOUN'), ('slugger', 'NOUN'), ('small', 'ADJ'), ('sox', 'NOUN'), ('sport', 'NOUN'), ('state', 'NOUN'), ('structure', 'NOUN'), ('tampa', 'VERB'), ('tennessee', 'NOUN'), ('texas', 'NOUN'), ('thawk', 'X'), ('throwback', 'NOUN'), ('tigers', 'NOUN'), ('timeline', 'VERB'), ('toronto', 'NOUN'), ('twin', 'ADJ'), ('university', 'NOUN'), ('visor', 'NOUN'), ('volunteer', 'NOUN'), ('washington', 'NOUN'), ('white', 'ADJ'), ('wolverines', 'NOUN'), ('women', 'NOUN'), ('yankees', 'NOUN'), ('york', 'NOUN'), ('youth', 'NOUN')]"
1,-,bead clothe crochet large taupe tote,"[('bead', 'VERB'), ('clothe', 'NOUN'), ('crochet', 'NOUN'), ('large', 'ADJ'), ('taupe', 'NOUN'), ('tote', 'NOUN')]"
2,007lingerie,babydoll black boxer boy cheeky chiffon classic clothe design embroider green invisible lace low match microfiber minimalist panty pareo pink rise satin set short side size soft stretch sweetpink thong turquoise,"[('babydoll', 'NOUN'), ('black', 'ADJ'), ('boxer', 'NOUN'), ('boy', 'NOUN'), ('cheeky', 'ADJ'), ('chiffon', 'NOUN'), ('classic', 'ADJ'), ('clothe', 'NOUN'), ('design', 'NOUN'), ('embroider', 'NOUN'), ('green', 'ADJ'), ('invisible', 'ADJ'), ('lace', 'NOUN'), ('low', 'ADJ'), ('match', 'NOUN'), ('microfiber', 'NOUN'), ('minimalist', 'VERB'), ('panty', 'ADJ'), ('pareo', 'NOUN'), ('pink', 'ADJ'), ('rise', 'VERB'), ('satin', 'NOUN'), ('set', 'VERB'), ('short', 'ADJ'), ('side', 'NOUN'), ('size', 'NOUN'), ('soft', 'ADJ'), ('stretch', 'NOUN'), ('sweetpink', 'NOUN'), ('thong', 'NOUN'), ('turquoise', 'NOUN')]"
3,10 deep,clothe deep mens quot sock space,"[('clothe', 'NOUN'), ('deep', 'ADJ'), ('mens', 'VERB'), ('quot', 'ADJ'), ('sock', 'NOUN'), ('space', 'NOUN')]"
4,10 years,autumn clothe effect shirt years,"[('autumn', 'NOUN'), ('clothe', 'NOUN'), ('effect', 'NOUN'), ('shirt', 'NOUN'), ('years', 'NOUN')]"
5,10-seconds,cleaner clothe deodorant disinfectant insole pack repellent second suede superlight value water,"[('cleaner', 'ADJ'), ('clothe', 'NOUN'), ('deodorant', 'ADJ'), ('disinfectant', 'NOUN'), ('insole', 'NOUN'), ('pack', 'NOUN'), ('repellent', 'NOUN'), ('second', 'ADJ'), ('suede', 'NOUN'), ('superlight', 'ADJ'), ('value', 'NOUN'), ('water', 'NOUN')]"
6,100 demons,clothe demons large noose shirt,"[('clothe', 'NOUN'), ('demons', 'NOUN'), ('large', 'ADJ'), ('noose', 'ADP'), ('shirt', 'NOUN')]"
7,15love,back clothe love tank women,"[('back', 'ADV'), ('clothe', 'NOUN'), ('love', 'NOUN'), ('tank', 'NOUN'), ('women', 'NOUN')]"
8,180s,accessories black cell clothe ear exolite faux fleece ftb headphones heat jvc one phone pink size stereo stretch suede tec tech unisex warmer warmers white women,"[('accessories', 'NOUN'), ('black', 'ADJ'), ('cell', 'NOUN'), ('clothe', 'NOUN'), ('ear', 'NOUN'), ('exolite', 'ADJ'), ('faux', 'ADJ'), ('fleece', 'NOUN'), ('ftb', 'NOUN'), ('headphones', 'VERB'), ('heat', 'NOUN'), ('jvc', 'NOUN'), ('one', 'NUM'), ('phone', 'NOUN'), ('pink', 'ADJ'), ('size', 'NOUN'), ('stereo', 'NOUN'), ('stretch', 'NOUN'), ('suede', 'VERB'), ('tec', 'ADJ'), ('tech', 'NOUN'), ('unisex', 'ADJ'), ('warmer', 'ADJ'), ('warmers', 'NOUN'), ('white', 'ADJ'), ('women', 'NOUN')]"
9,1st class sleeper,body class clothe first full pillow sleeper travel,"[('body', 'NOUN'), ('class', 'NOUN'), ('clothe', 'NOUN'), ('first', 'ADJ'), ('full', 'ADJ'), ('pillow', 'ADJ'), ('sleeper', 'NOUN'), ('travel', 'NOUN')]"
10,1st fantasies,bikini boyshorts bra choices clothe color elegant embroider green ivory lace large low offer pack pajama panty rise separately set sexy silk size small soft stretch taupe tone white,"[('bikini', 'NOUN'), ('boyshorts', 'NOUN'), ('bra', 'NOUN'), ('choices', 'NOUN'), ('clothe', 'VERB'), ('color', 'NOUN'), ('elegant', 'ADJ'), ('embroider', 'ADJ'), ('green', 'ADJ'), ('ivory', 'NOUN'), ('lace', 'NOUN'), ('large', 'ADJ'), ('low', 'ADJ'), ('offer', 'NOUN'), ('pack', 'NOUN'), ('pajama', 'NOUN'), ('panty', 'ADJ'), ('rise', 'NOUN'), ('separately', 'ADV'), ('set', 'VERB'), ('sexy', 'ADJ'), ('silk', 'NOUN'), ('size', 'NOUN'), ('small', 'ADJ'), ('soft', 'ADJ'), ('stretch', 'ADJ'), ('taupe', 'NOUN'), ('tone', 'NOUN'), ('white', 'ADJ')]"
